Temps	Canal A
(us)	(V)

-212.93599163	3.47483800
-212.85599163	3.65367600
-212.77599163	3.65367600
-212.69599163	3.65367600
-212.61599163	3.65367600
-212.53599163	3.65367600
-212.45599163	3.65367600
-212.37599163	3.65367600
-212.29599163	3.65367600
-212.21599163	3.65367600
-212.13599163	3.65367600
-212.05599163	3.65367600
-211.97599163	3.65367600
-211.89599163	3.65367600
-211.81599163	3.65367600
-211.73599163	3.65367600
-211.65599163	3.65367600
-211.57599164	3.65367600
-211.49599164	3.65367600
-211.41599164	3.65367600
-211.33599164	3.65367600
-211.25599164	3.83312500
-211.17599164	3.65367600
-211.09599164	3.83312500
-211.01599164	3.83312500
-210.93599164	3.83312500
-210.85599164	3.83312500
-210.77599164	3.83312500
-210.69599164	3.83312500
-210.61599164	3.83312500
-210.53599164	3.83312500
-210.45599164	3.83312500
-210.37599164	3.83312500
-210.29599164	3.83312500
-210.21599164	3.83312500
-210.13599164	3.83312500
-210.05599164	3.83312500
-209.97599164	3.83312500
-209.89599165	3.83312500
-209.81599165	3.83312500
-209.73599165	3.83312500
-209.65599165	3.83312500
-209.57599165	3.83312500
-209.49599165	3.83312500
-209.41599165	4.01196300
-209.33599165	4.01196300
-209.25599165	3.83312500
-209.17599165	4.01196300
-209.09599165	4.01196300
-209.01599165	4.01196300
-208.93599165	4.01196300
-208.85599165	4.01196300
-208.77599165	4.01196300
-208.69599165	4.01196300
-208.61599165	4.01196300
-208.53599165	4.01196300
-208.45599165	4.01196300
-208.37599165	4.01196300
-208.29599165	4.01196300
-208.21599166	4.01196300
-208.13599166	4.01196300
-208.05599166	4.01196300
-207.97599166	4.01196300
-207.89599166	4.01196300
-207.81599166	4.19141200
-207.73599166	4.19141200
-207.65599166	4.19141200
-207.57599166	4.19141200
-207.49599166	4.19141200
-207.41599166	4.19141200
-207.33599166	4.19141200
-207.25599166	4.19141200
-207.17599166	4.19141200
-207.09599166	4.19141200
-207.01599166	4.19141200
-206.93599166	4.19141200
-206.85599166	4.19141200
-206.77599166	4.19141200
-206.69599166	4.19141200
-206.61599167	4.37025100
-206.53599167	4.37025100
-206.45599167	4.37025100
-206.37599167	4.37025100
-206.29599167	4.37025100
-206.21599167	4.19141200
-206.13599167	4.37025100
-206.05599167	4.37025100
-205.97599167	4.37025100
-205.89599167	4.37025100
-205.81599167	4.37025100
-205.73599167	4.37025100
-205.65599167	4.37025100
-205.57599167	4.37025100
-205.49599167	4.37025100
-205.41599167	4.37025100
-205.33599167	4.37025100
-205.25599167	4.37025100
-205.17599167	4.37025100
-205.09599167	4.37025100
-205.01599167	4.37025100
-204.93599168	4.54969900
-204.85599168	4.37025100
-204.77599168	4.37025100
-204.69599168	4.37025100
-204.61599168	4.37025100
-204.53599168	4.37025100
-204.45599168	4.37025100
-204.37599168	4.54969900
-204.29599168	4.54969900
-204.21599168	4.54969900
-204.13599168	4.54969900
-204.05599168	4.54969900
-203.97599168	4.54969900
-203.89599168	4.54969900
